text,y
"The deminsions were on the 'outside' of the product!...not the inside, where the zipper is...to open the product where the bible goes. The bible should be at least 2"" less around for comfortable fitting.",1
I did not find any leather in this Bible Cover.  I do like the purse style and believe it is easier on the spine of large study Bibles.  However I wanted a leather cover and returned these because they were not a discribed.  Amazon was very gracious to give me a full refund and pay for all shipping.,1
"If you're looking for something high quality don't get this. It's a piece of paper. It wasn't well wrapped in the packing and was just shoved in the box. The box was wet upon arrival and the paper was mostly ruined. I'm unable to use it in my classroom. Wish I had gone with something better quality. It looks better in the picture than it does in person, especially when wet and wrinkled and doesn't come with the necessary items to attach the arrow (that I have to cut out on my own). For what I paid for it I definitely expected more. My kids like it and like the look of it. It's just not sturdy enough for a classroom. I'm going to have to attach cardboard to the back and hope I can iron it flat now that it's dry. Not sure how long it will last. Also have to go shopping to get something to somehow attach the arrow so that it will turn when the kids change the weather each day. Ugggh. NOT my best buy. Don't recommend it. It looks great, just not high enough quality for a classroom, especially one with younger kids (K - 2nd grade).",1
flimsy. don't waste your money.,1
"Expected a story book, amd instead this is a transcription of the same thing as the TV 12 minute vignette.",1
"Don't waste your money, you can find a similar set at the dollar tree...for ONE DOLLAR.",1
"Not being able to easily tear out the pages is a major drawback.  It that is not important to you, you will be happy.",1
"I've alway held Rand McNally as the Gold Standard of maps, having worked in a map and globe specific retail establishment. However, the complete omission apart from random edges of  the 6th continent of Antartica, granted, I paid $5 for it, it came in decent time even with the dreaded postal handshake, but really? The coastline only of an entire continent as if it had no other features? Sorry, but I call foul, I wouldn't put this up in a kindergarten class, it will serve the purpose I'm using it for, but I don't recommend it for educational value.",1
"I don't know why Amazon can't put the actual and true size of this map on the site. Is it really THAT HARD? I couldn't figure out what the size of this thing was and the 31.5"" size indication with other ridiculous numbers is the height - so beware this thing is BIG. approx. 60"" wide and 32"" tall. Besides the size problem the map looks faintly printed and feels really cheap in general. It's not what I would call ""laminated"" more like ""coated with a nano layer of plastic"". Also, the slightest accidental bending while handling this huge map will likely leave a permanent crease or wrinkle in the map. Returned!",1
"I understand that these reviews should be based on the PRODUCT, but people just need to not purchase this particular map from Amazon.  As other people have complained about, I received the darn thing in a plastic bag. It was crumpled and creased beyond repair so I sent it back.  When I find someone else selling this map I will purchase it from them, hopefully they understand the benefits of cardboard tubes.  The map itself was exactly what I wanted.",1
"I love this map.  it is large, colorful and as near as I can tell, accurate.

HOWEVER, Amazon shipped this map to me, NOT IN A TUBE but rather between two flat pieces of cardboard.  My map came smashed, completely flat.  So now, upon unrolling in it has lines as if it was folded every two inches the entire length of the map which makes it look awful on my wall.  I'm not going to return it because since they didn't put it in a tube, I don't want to have to buy one.  But let buyer beware.",1
Arrived damaged,1
"DON""T BUY! Most classes you can use the clicker two, just go buy the clicker two. This one was unreliable, I couldn't tell if it sent my answer, and it won't work with all systems. I used it for ONE class before it stopped working, it would refuse to turn on/off when needed. I had to send it back still on bc it would NOT shut off but when I needed it on in class it would not turn on. Don't be cheap on this one spend the extra little bit to get yourself the clicker two so you can see the answer you sent on the screen, see that it sent, etc. You don't want to have to sit in class and wonder if your clicker is even working when your prof uses them as a participation grade! You will have multiple classes to use it in and if your nice to it maybe you can sell it when your done but even so its worth it to have something reliable.",1
"This is the third year in a row that I have bought a Dilbert page-a-day calendar. I love the Dilbert comics and being able to wake up every day and read one in the morning is very enjoyable. It's always good to start your day with a smile. I loved the Dilbert calendars I used for the past couple years.

However this years calendar is beyond horrible. It looks like it was designed by a three year old and was then outsourced to China for printing and assembly. I will explain:

1. Craftsmanship - When I got the calendar in the mail, I took it out and tried to set it up. The cover and binder promptly fell off the calendar, it now has the glue backing that the pages are stuck to exposed on the top. Since the calendar attached to the plastic stand with sticky glue on the back cover, the calendar doesn't ""stick"" to the plastic stand anymore, since it only has the glue and pages left.

2. Where's Sunday? - For whatever illogical and inconceivable reason, they removed Sunday from the calendar. They combined the weekends into one page, so now you have pages for ""Mon"", ""Tue"", ""Wed"", ""Thu"", ""Fri"", ""Sat/Sun"". I can't understand why they did this. The whole reason I use page-a-day calendars is because I can never remember what the date or day of the week is. It is only through the habit of removing a page every morning that I have any clue what month/day/year I am living in. I'm serious. I don't keep track of time like other people do. So combining the weekends like this really throws me off.

3. The Font - The old Dilbert calendars had an easy to read font for the date and day of the week. They used a bold black font on a white background, something that everyone is accustomed to and can read easily. Now they have a thinner black font with a white highlight on a lime green background. It actually is harder to read, especially when you wake up in the morning. The obnoxious orange seal on the bottom right of every page with Scott Adams name only adds to the visual aggravation.

To conclude, the calendar is in almost every way horrible. I love the Dilbert strips, and the strips are the only enjoyable thing about this. I will be shopping around for another page-a-day calendar to use, and probably won't buy another Dilbert one. I think one of these days when I am bored I will go through and read all the strips in this one, and then throw it out.",1
"Spend 15 minutes on the internet, and you will find all of these ideas and more for free.  I feel very foolish having paid for this book and hope to save others doing the same.",1
I received this book of file folder games and it looks like the back cover and several file game pages have been sliced through and ruined with a knife or another type of cutting device.  Sad cause three of the 20 games are ruined.,1
"This is a great idea in theory, but only a week after we got it it started acting crazy and would beep all day and night. It has the tiniest screw in the back to access the battery, so we couldn't stop the beeping. Eventually it died and my daughter didn't even really get to use it.",1
Kitchen timer works better than this. It was a waste of money for us.,1
Too much trouble.,1
"Can't make these match up with catechism I purchased.  Not all catechisms are the same. Ordered with ""Cathechism of the Catholic Church"" and they are screwy with that edition.  Came as recommended but don't fit the bill.",1
"Not only did this burn the hell out of my eyes, but it did absolutely nothing after a 3 weeks of nightly usage. No lash growth and definitely no eyebrow growth. If anything, it was sticky, and my eyebrows fell out. Strange.. I've used other products in the past that worked well on lashes and didn't burn.. That product sadly is discontinued.",1
"I really want to like this, but it's just too small!",1
Do not waste your money fell it is poorly made and fell apart.,1
"$11.95 for a password keeper- expensive but had a leather-type cover & looked good!
Opened it up to the 'A's"" & put in my password info......turned the page to the next section & all of the pages fell out!!!!!
Also found a small metal piece in the binding that was loose & would have choked a small child or dog.
I want my $ back
Thanks",1
"These are worthless! The print is too small, the quality is bad!",1
Very streaky. It does not draw cleanly and the ink doesn't flow easily most of the time.,1
"I was expecting a pen that would write better and more consistently, but unfortunately they write muddy lines that tend to skip or stop writing altogether. The colors are also more faint than I expected. They are made cheap and leave ink all over the tip of the pen. For the price, I wouldn't recommend them. They seem more like a novelty that would be at a dollar store.",1
So disappointed with the way the ink does not blend,1
Overall did not write that well!,1
"The Tutti Frutti Gel Pens that I received are sub-par.  They are not scented, the ink flow is horrid -- either skipping or flooding & they only work when held straight up/down.

Packaging was great.  Cute to look at.  Just not worth using and can be frustratingly messy.",1
Cheap and don't work,1
"I've heard a lot of people say The Argyle Sweater is like The Far Side. Um, no.",1
Be warned:This is one page printed over and over 180 times and 2 other pages. Not worth it.,1
There is too much packed on each page. Not enough room to use productively. Too busy.  The cover curls backward  into a roll.,1
"The calendar is a disappointment. As soon as I removed the shrink wrap, I realized the cover has already been damaged. The prints are of low quality. Dull, the colors of the images are not even close to what is showing on the webpage. The national parks are breathtaking (I've been to quite a few of them featured in this calendar) but most of these pictures are simply ugly.",1
"I bought these because I bought the first one.  However, these were not the same quality tangles that the other set was.  It's like she was searching blindly for patterns to put down.  Wish I didn't buy these.",1
"These have very weak magnets, barely holds on.  I don't like them at all.  I thought they would be more like an Olyi clip and be much stronger.  They barely hold 1 piece of paper.",1
Was bent when it arrived. Had a crease in it.,1
One of them was bent when it arrived and had a crease in it.,1
If I could I would give this zero stars. Its a cardboard with a tassel on it. And it came all bent up. DONT WASTE YOUR MONEY!!,1
I bought this bookmark because I loved the moon design but when I got it the image had melted off! The design was the only reason I bought thist and now I'm stuck with smudged bookmark!,1
Utter crap.  First of the two refills didn't work right out of the package - no roller ball in the pen tip.  The second one is rough and uneven.  You get what you pay for - and I paid for crap.  Don't waste your money.,1
"After reading all the reviews mostly praising this roller ball refill I purchased the pen and a package of refills.  The pen okay, nothing special but the ink was horrible.  There was no flow at all...skips constantly....I tried all of the refills just make sure I did have a lemon but they were all the same.  I very recently bought several journals from this company and found them to be the best ever so I felt confident....

 I am a pen person, never written a review before but felt this was too bad to be true.  The very best refill i've found and been using for years is the Schmidt...the make refill for every pen from not expensive to top of the line pens...they write like a dream and last for a long time.  I highly recommend the Schmidt for any pen you are thinking of buying.  After all it's the ink that matters.  The pen is just the container.",1
"Very small in size,would recommend a size or 2 up from this one !!",1
Not as described.  Mine came with W T F on the top instead of PRESCRIPTION and for that reason I had to throw it away.  On the positive side I was refunded my money.,1
Not enough space to write and I don't buy all the crap listed on this page. Plus the page is huge with no space to write.,1
"They are not sticky enough to stay in place, even temporarily.",1
The notes were bent and they were not sticky at all.,1
Totally over priced.  One tiny pad of High Five and that's it. Very disappointed.,1
"Smaller than I thought it would be, should have read the description more carefully. Printing is too small to be read easily.
Not worth the price..",1
"DO NOT BUY, IT IS MISSING DAYS OF THE WEEK",1
"I'm a huge fan of pretty much anything paper related as I make all lists, plans etc the old-fashioned way - and Knock Knock pretty much has the market cornered to a T. Not only do their product cater to whatever function, interest or humorous penchant you might have, the paper is also excellent quality - not flimsy like other I've bought. I own probably about a dozen different variations of this particular type of product (meaning the size) - ranging from the basic to do list to packing view decision-making etc. I also have post-it versions and smaller lists. To date, none of these Knock Knock notepads have ever let me down and as a product I would rate them a solid 5/5 without hesitation.

This review is for the WHAT I ATE pad.

The fact that this pad is currently marketed on Amazon for more than TWICE the regular retail price of $6.99 (at the time of my writing it's at over $14!) is absolutely ridiculous - hence my revised rating.

I would also point out that the spaces are VERY small and limited; so if you take anything like dietary supplements or want to keep a more detailed account of what you're eating, this simply isn't going to cut it unless you have tiny, diminutive hand-writing, this is just useless unless all you're writing is single words in each space. Not one of Knock Knock's best.",1
These are super tiny...not worth the cost.,1
Wish it was sticky!!!,1
I bought this thinking it would be nicer than it is.  I mean this is a scratch-pad for eight dollars and  some change.  Something you would find at the dollar store.  On top of all-it is a present!,1
They are very flimsy and cheaply made.  Alai you can not peel and re-adhere then to other surfaces.,1
"I gave this as a gift to a few people and they all loved it.  It is an easy read and leads one to believe it will be a nice introduction to helping a person build a relationship with Christ. What is does for many people is it replaces time in the Bible with the reading of this book. After a careful read my self I see that, Sarah Young, perhaps wanting a word from God that was more than the Word of God, she ended up being deceived herself. ""Deceiving and being deceived: 2 Tim 3:13, and she has taken millions of Jesus Calling readers along with her. Remember I Tim 4:1 "" Now the Spirit expressly says that in later times some will depart from the faith by devoting themselves to deceitful spirits and teachings of demons."" The writer has made millions of dollars by steering people away from the Word of God (the Bible) and towards Jesus Calling. An example of a misrepresentation that I found on two separate pages that contradict the Bible's true Jesus Christ.  Supposedly she was told by her ""Jesus"" that the last words he spoke after his resurrection and before ascending into heaven were ""I am with you always.""  But the statement made by the true Jesus Christ on the Mount of Galilee were not His last words before ascending into heaven.  His last words were spoken from the Mount of Olives as recorded in Acts 1:7-9, 12. The 2 messages Sarah Young received from her ""Jesus"" contradict the words of the true Jesus Christ in the Bible. Regardless of whether the writer has been listening to a deceptive spirit (I Tim. 4:1) or to her own confused thoughts (1 Corinthians 14:33) or a combination of both, she is misguided and is in turn deceiving others (2 Tim 3:13) whether she realizes it or not.  Believers must search the Scriptures for themselves to see if the things they are being told are really true (Act 17:11) and they must test the voices they are listening to ""because many false prophets are gone out into the world"". 1 John 4:1).  It is not enough that a teaching makes a person feel good if it is not based upon the truth of the Bible, then it is to be avoided.  Unfortunately, believers who are not well versed in the scriptures will not be able to catch untruths and deceptions when presented to them. It is my prayer that readers be more discerning and work to recognize God's truth from man's almost truth.",1
"What a horrid little journal. No binding strip on the the left side, which holds the pages inside the book. For this price they'd couldn't be bothered with a strip? Pages are barely sewn in. Cheap cheap cheap.",1
Extremely upset. This package did not come with all it said it would. There was a sheet missing or something. I did not receive any days-of-the-week label cards or the number 1. These things are kind of necessary for the calender's use....,1
