,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
0,6508,4,0,10,17,0,1,1,2,0.4,0.4091,0.76,0.1642,40,455,4
1,10174,1,1,3,23,0,0,0,1,0.26,0.2576,0.41,0.194,2,24,0
2,9524,1,1,2,18,0,1,1,1,0.38,0.3939,0.43,0.2239,11,426,4
3,17093,4,1,12,23,0,3,1,1,0.32,0.3333,0.66,0.1343,4,84,1
4,10127,1,1,3,0,0,6,0,3,0.36,0.3636,0.93,0.0896,1,21,0
5,4279,3,0,7,4,0,6,0,1,0.62,0.6061,0.61,0,3,8,0
6,409,1,0,1,0,0,3,1,2,0.22,0.2727,0.93,0,0,3,0
7,8652,1,1,1,6,0,0,0,1,0.26,0.2727,0.93,0.1343,1,1,0
8,15851,4,1,10,15,0,6,0,2,0.56,0.5303,0.6,0.2836,310,401,4
9,12410,2,1,6,6,0,3,1,1,0.48,0.4697,0.77,0,7,165,2
10,17317,1,1,12,9,0,6,0,2,0.26,0.2424,0.81,0,16,33,1
11,6874,4,0,10,23,0,2,1,2,0.52,0.5,0.77,0.194,7,63,1
12,16267,4,1,11,12,0,4,1,2,0.36,0.3636,0.62,0.1045,29,184,3
13,16331,4,1,11,4,0,0,0,2,0.3,0.2879,0.81,0.194,4,8,0
14,3445,2,0,5,10,0,6,0,1,0.7,0.6515,0.65,0.2239,110,166,3
15,2702,2,0,4,11,0,3,1,2,0.64,0.5909,0.78,0.2836,53,103,2
16,9410,1,1,2,23,0,3,1,1,0.46,0.4545,0.63,0.0896,22,75,1
17,16305,4,1,11,2,0,6,0,1,0.26,0.2576,0.65,0.194,8,41,1
18,14048,3,1,8,12,0,1,1,1,0.78,0.697,0.4,0.194,96,180,3
19,12832,3,1,6,20,0,6,0,1,0.78,0.6818,0.31,0.194,158,228,4
20,13442,3,1,7,6,0,4,1,1,0.72,0.6818,0.66,0.1343,8,144,2
21,12083,2,1,5,15,0,3,1,2,0.7,0.6515,0.61,0,65,192,3
22,14877,3,1,9,1,0,1,1,1,0.52,0.5,0.72,0.0896,9,12,0
23,8198,4,0,12,5,0,2,1,1,0.18,0.2424,0.86,0,0,20,0
24,4768,3,0,7,13,0,5,1,1,0.94,0.9848,0.51,0.1642,25,98,2
25,7274,4,0,11,16,0,5,1,1,0.46,0.4545,0.36,0.3881,53,237,3
26,2569,2,0,4,22,0,4,1,1,0.42,0.4242,0.38,0.0896,31,106,2
27,8114,4,0,12,17,0,5,1,1,0.34,0.3485,0.66,0.1045,10,352,4
28,12349,2,1,6,17,0,0,0,1,0.7,0.6364,0.34,0.2537,192,386,4
29,14884,3,1,9,8,0,1,1,1,0.54,0.5152,0.77,0.0896,36,647,4
30,6996,4,0,10,2,0,1,1,1,0.4,0.4091,0.87,0.1045,1,6,0
31,6306,4,0,9,7,0,0,0,2,0.6,0.5152,0.94,0.1343,15,23,1
32,8826,1,1,1,13,0,0,0,1,0.4,0.4091,0.37,0.2985,77,266,4
33,5349,3,0,8,18,0,1,1,1,0.7,0.6515,0.65,0.194,70,413,4
