,Unnamed: 0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y
0,29733,0.31,3,3,5,60.5,58.0,4.39,4.43,2.67,0
1,41806,0.44,2,1,4,62.2,58.0,4.8,4.85,3.0,2
2,22349,1.21,3,1,4,62.4,57.0,6.75,6.83,4.24,6
3,53899,0.71,3,0,2,60.5,59.0,5.81,5.79,3.51,3
4,42361,0.41,3,0,5,62.3,55.0,4.76,4.77,2.97,2
5,43697,0.57,3,1,2,61.5,56.0,5.32,5.35,3.28,2
6,44019,0.32,3,6,3,62.1,54.0,4.38,4.44,2.74,0
7,6157,1.01,3,3,1,60.6,59.0,6.49,6.41,3.91,4
8,14484,1.01,3,0,2,62.0,57.0,6.37,6.44,3.97,5
9,52102,0.73,3,5,3,61.7,55.0,5.79,5.82,3.58,3
10,1368,0.72,3,3,3,61.3,56.0,5.77,5.81,3.55,3
11,23275,1.71,3,3,1,60.9,58.0,7.68,7.72,4.69,6
12,10612,1.03,1,5,3,60.0,62.0,6.51,6.55,3.92,4
13,26887,2.01,3,5,3,59.2,62.0,8.17,8.14,4.83,6
14,13621,1.05,3,2,2,61.8,56.0,6.55,6.45,4.02,5
15,43299,0.3,2,6,4,63.4,57.0,4.26,4.23,2.69,0
16,48360,0.23,3,3,7,61.8,56.0,3.92,3.94,2.43,0
17,41539,0.58,2,1,1,63.1,58.0,5.29,5.32,3.35,2
18,27287,2.02,2,2,2,60.1,60.0,8.21,8.29,4.96,6
19,52178,0.76,3,2,1,61.8,58.0,5.83,5.88,3.62,3
20,4915,0.73,3,1,5,62.0,57.0,5.79,5.73,3.57,4
21,1868,0.9,1,3,1,63.6,57.0,6.1,6.04,3.86,3
22,740,0.73,3,1,3,62.0,57.0,5.86,5.76,3.6,3
23,22914,1.26,3,3,6,62.1,57.0,7.01,6.91,4.32,6
24,1751,0.32,3,3,3,62.5,60.0,4.32,4.38,2.72,0
25,3036,0.9,2,3,1,59.2,57.0,6.3,6.36,3.75,4
26,32922,0.4,3,6,4,63.0,58.0,4.7,4.66,2.95,1
27,18288,1.17,3,3,3,62.0,56.0,6.71,6.74,4.17,5
28,52499,0.71,3,0,1,60.4,56.0,5.79,5.83,3.51,3
29,53855,0.71,2,1,2,61.3,59.0,5.69,5.73,3.5,3
30,12055,1.0,3,2,2,59.8,59.0,6.55,6.49,3.9,5
31,4076,1.0,3,6,2,61.9,62.0,6.36,6.33,3.93,4
32,46353,0.3,2,4,4,60.4,61.0,4.3,4.34,2.61,0
33,30583,0.31,3,0,3,62.7,57.0,4.3,4.34,2.71,1
34,6219,0.97,3,2,1,61.9,58.0,6.35,6.31,3.92,4
35,7417,0.9,1,3,4,63.9,57.0,6.08,6.03,3.87,4
36,47995,0.55,3,0,4,61.5,56.0,5.26,5.28,3.24,3
37,3101,0.76,3,4,6,60.7,58.0,5.9,5.93,3.59,4
38,52505,0.76,2,4,3,63.4,58.0,5.78,5.74,3.65,3
39,51314,0.72,3,4,2,61.7,54.0,5.77,5.81,3.57,3
40,9932,1.01,3,5,3,59.9,61.0,6.49,6.53,3.9,4
41,20621,1.54,2,2,1,61.1,58.0,7.36,7.47,4.53,6
42,488,0.83,3,4,2,62.5,55.0,6.04,6.0,3.76,3
43,36396,0.41,2,0,3,61.7,54.0,4.77,4.82,2.96,1
44,24840,2.1,3,5,2,61.7,55.0,8.21,8.13,5.04,6
45,27206,1.65,2,2,4,62.8,56.0,7.52,7.57,4.74,6
46,35402,0.38,3,4,3,60.6,58.0,4.7,4.68,2.84,1
47,542,0.7,1,1,2,61.4,64.0,5.71,5.66,3.49,3
48,5420,0.34,3,3,1,62.8,59.0,4.47,4.45,2.8,0
49,32651,0.3,1,3,3,63.5,58.0,4.24,4.29,2.71,0
50,12796,1.0,3,3,3,60.8,60.0,6.39,6.33,3.87,5
51,33271,0.4,1,4,5,59.1,61.0,4.79,4.82,2.84,1
52,47760,0.52,3,1,3,61.7,56.0,5.16,5.21,3.2,3
53,53325,0.3,3,0,2,62.1,54.0,4.31,4.35,2.69,0
54,9457,1.01,2,3,2,59.6,61.0,6.47,6.52,3.87,4
55,13222,1.12,3,3,2,62.0,55.0,6.65,6.68,4.13,5
56,3002,0.8,3,1,2,61.5,58.0,5.97,5.93,3.66,4
57,32855,0.34,3,0,3,61.4,56.0,4.5,4.53,2.77,1
58,5078,0.3,3,2,3,60.5,58.0,4.3,4.36,2.62,0
59,18483,1.27,3,4,3,60.0,61.0,7.03,6.99,4.26,5
60,40704,0.31,3,2,7,60.2,57.0,4.38,4.44,2.65,2
61,1334,0.79,3,2,3,63.0,59.0,5.84,5.8,3.66,3
62,50117,0.51,3,2,5,61.2,56.0,5.19,5.17,3.17,3
63,51822,0.7,3,3,2,61.9,56.0,5.66,5.71,3.52,3
64,32075,0.3,3,1,5,62.2,54.4,4.3,4.32,2.68,1
65,13887,1.2,2,1,1,63.3,55.0,6.77,6.73,4.27,5
66,14653,1.16,3,0,1,62.1,54.0,6.79,6.74,4.2,5
67,12325,1.23,2,6,3,62.9,58.0,6.75,6.83,4.27,5
68,13664,1.01,3,3,2,62.6,56.0,6.41,6.44,4.02,5
69,6871,1.01,1,5,3,62.8,59.0,6.34,6.4,4.0,4
70,49974,0.58,1,1,4,58.6,64.0,5.4,5.46,3.18,3
71,47866,0.73,3,6,2,58.2,59.0,5.99,5.91,3.46,3
72,2906,0.7,2,3,6,62.8,56.0,5.63,5.67,3.55,4
73,33996,0.23,2,1,6,62.2,59.0,3.92,3.96,2.45,0
74,7223,1.15,3,4,1,62.2,57.0,6.68,6.63,4.14,4
75,12064,1.0,3,3,2,60.5,61.0,6.51,6.45,3.92,5
76,37616,0.32,3,2,6,61.8,56.0,4.45,4.42,2.74,1
77,14342,1.22,3,2,1,62.5,57.0,6.78,6.73,4.22,5
78,41491,0.38,3,2,7,62.2,54.0,4.68,4.71,2.92,2
79,9567,1.01,3,6,3,61.3,56.0,6.46,6.5,3.97,4
80,45041,0.57,3,2,3,59.2,57.0,5.45,5.5,3.24,2
81,41473,0.42,3,2,4,61.6,55.0,4.84,4.87,2.99,2
82,27069,0.32,2,3,4,62.1,55.0,4.41,4.44,2.75,0
83,13154,1.21,3,3,1,60.3,58.0,6.9,6.96,4.18,5
84,7689,0.9,2,3,3,60.9,59.0,6.18,6.24,3.78,4
85,13516,1.08,3,2,2,62.7,57.0,6.53,6.57,4.11,5
86,47574,0.57,2,2,4,60.3,58.0,5.36,5.39,3.24,3
87,26946,2.63,3,6,1,62.1,57.0,8.83,8.88,5.5,6
88,11252,1.23,2,6,3,62.8,59.0,6.75,6.82,4.26,5
89,28600,0.3,3,4,4,60.4,61.0,4.31,4.27,2.59,0
90,10977,1.01,1,2,2,63.3,59.0,6.38,6.42,4.05,5
91,24325,1.51,3,1,2,61.5,58.0,7.33,7.38,4.52,6
92,43416,0.55,3,2,2,60.2,58.0,5.31,5.35,3.21,2
93,19371,1.16,3,0,3,62.1,57.0,6.7,6.73,4.17,6
94,27024,1.7,2,3,5,61.5,60.0,7.59,7.64,4.68,6
95,42545,0.53,2,2,2,62.5,57.0,5.19,5.24,3.26,2
96,50278,0.58,3,4,7,60.2,56.0,5.43,5.46,3.28,3
97,23428,0.36,3,1,2,62.4,55.0,4.55,4.58,2.85,0
98,13458,1.2,3,5,2,61.1,58.0,6.88,6.8,4.18,5
99,25960,2.0,2,6,5,63.0,59.0,7.97,8.0,5.03,6
100,47970,0.56,3,1,3,61.4,61.0,5.31,5.28,3.25,3
101,6709,0.94,3,1,1,62.4,58.0,6.26,6.33,3.93,4
102,12483,1.17,3,6,4,62.5,57.0,6.68,6.63,4.16,5
103,38848,0.31,3,3,6,61.9,55.0,4.36,4.3,2.68,1
104,7980,1.02,2,2,1,63.0,58.0,6.37,6.43,4.03,4
105,12872,1.2,2,4,1,62.0,58.0,6.73,6.79,4.19,5
106,39041,0.42,3,3,4,61.0,56.0,4.86,4.82,2.95,2
107,25093,2.41,3,5,1,60.7,59.0,8.7,8.64,5.26,6
108,20941,1.06,3,2,5,62.1,57.0,6.54,6.5,4.05,6
109,17360,1.28,3,4,2,62.3,58.0,7.0,6.94,4.34,5
110,11750,0.34,3,1,2,61.4,55.0,4.48,4.54,2.77,0
