,id,'cylinders','displacement','horsepower','weight','acceleration','model','origin','class'
0,1,8,307,130,3504,12,70,1,1
1,2,8,350,165,3693,11.5,70,1,1
2,3,8,318,150,3436,11,70,1,1
3,4,8,304,150,3433,12,70,1,1
4,5,8,302,140,3449,10.5,70,1,1
5,6,8,429,198,4341,10,70,1,1
6,7,8,454,220,4354,9,70,1,0
7,8,8,440,215,4312,8.5,70,1,0
8,9,8,455,225,4425,10,70,1,0
9,10,8,390,190,3850,8.5,70,1,1
10,11,8,383,170,3563,10,70,1,1
11,12,8,340,160,3609,8,70,1,0
12,13,8,400,150,3761,9.5,70,1,1
13,14,8,455,225,3086,10,70,1,0
14,15,4,113,95,2372,15,70,3,2
15,16,6,198,95,2833,15.5,70,1,2
16,17,6,199,97,2774,15.5,70,1,1
17,18,6,200,85,2587,16,70,1,2
18,19,4,97,88,2130,14.5,70,3,3
19,20,4,97,46,1835,20.5,70,2,3
20,21,4,110,87,2672,17.5,70,2,3
21,22,4,107,90,2430,14.5,70,2,2
22,23,4,104,95,2375,17.5,70,2,3
23,24,4,121,113,2234,12.5,70,2,3
24,25,6,199,90,2648,15,70,1,2
25,26,8,360,215,4615,14,70,1,0
26,27,8,307,200,4376,15,70,1,0
27,28,8,318,210,4382,13.5,70,1,0
28,29,8,304,193,4732,18.5,70,1,0
29,30,4,97,88,2130,14.5,71,3,3
30,31,4,140,90,2264,15.5,71,1,3
31,32,4,113,95,2228,14,71,3,3
33,34,6,232,100,2634,13,71,1,1
34,35,6,225,105,3439,15.5,71,1,1
35,36,6,250,100,3329,15.5,71,1,1
36,37,6,250,88,3302,15.5,71,1,1
37,38,6,232,100,3288,15.5,71,1,1
38,39,8,350,165,4209,12,71,1,0
39,40,8,400,175,4464,11.5,71,1,0
40,41,8,351,153,4154,13.5,71,1,0
41,42,8,318,150,4096,13,71,1,0
42,43,8,383,180,4955,11.5,71,1,0
43,44,8,400,170,4746,12,71,1,0
44,45,8,400,175,5140,12,71,1,0
45,46,6,258,110,2962,13.5,71,1,1
46,47,4,140,72,2408,19,71,1,2
47,48,6,250,100,3282,15,71,1,1
48,49,6,250,88,3139,14.5,71,1,1
49,50,4,122,86,2220,14,71,1,2
50,51,4,116,90,2123,14,71,2,3
51,52,4,79,70,2074,19.5,71,2,4
52,53,4,88,76,2065,14.5,71,2,4
53,54,4,71,65,1773,19,71,3,4
54,55,4,72,69,1613,18,71,3,5
55,56,4,97,60,1834,19,71,2,3
56,57,4,91,70,1955,20.5,71,1,3
57,58,4,113,95,2278,15.5,72,3,2
58,59,4,97.5,80,2126,17,72,1,3
59,60,4,97,54,2254,23.5,72,2,2
60,61,4,140,90,2408,19.5,72,1,2
61,62,4,122,86,2226,16.5,72,1,2
62,63,8,350,165,4274,12,72,1,0
63,64,8,400,175,4385,12,72,1,0
64,65,8,318,150,4135,13.5,72,1,1
65,66,8,351,153,4129,13,72,1,0
66,67,8,304,150,3672,11.5,72,1,1
67,68,8,429,208,4633,11,72,1,0
68,69,8,350,155,4502,13.5,72,1,0
69,70,8,350,160,4456,13.5,72,1,0
70,71,8,400,190,4422,12.5,72,1,0
71,72,3,70,97,2330,13.5,72,3,1
72,73,8,304,150,3892,12.5,72,1,1
73,74,8,307,130,4098,14,72,1,0
74,75,8,302,140,4294,16,72,1,0
75,76,8,318,150,4077,14,72,1,0
76,77,4,121,112,2933,14.5,72,2,1
77,78,4,121,76,2511,18,72,2,2
78,79,4,120,87,2979,19.5,72,2,2
79,80,4,96,69,2189,18,72,2,3
80,81,4,122,86,2395,16,72,1,2
81,82,4,97,92,2288,17,72,3,3
82,83,4,120,97,2506,14.5,72,3,2
83,84,4,98,80,2164,15,72,1,3
84,85,4,97,88,2100,16.5,72,3,3
85,86,8,350,175,4100,13,73,1,0
86,87,8,304,150,3672,11.5,73,1,0
87,88,8,350,145,3988,13,73,1,0
88,89,8,302,137,4042,14.5,73,1,0
89,90,8,318,150,3777,12.5,73,1,1
90,91,8,429,198,4952,11.5,73,1,0
91,92,8,400,150,4464,12,73,1,0
92,93,8,351,158,4363,13,73,1,0
93,94,8,318,150,4237,14.5,73,1,0
94,95,8,440,215,4735,11,73,1,0
95,96,8,455,225,4951,11,73,1,0
96,97,8,360,175,3821,11,73,1,0
97,98,6,225,105,3121,16.5,73,1,1
98,99,6,250,100,3278,18,73,1,1
99,100,6,232,100,2945,16,73,1,1
100,101,6,250,88,3021,16.5,73,1,1
101,102,6,198,95,2904,16,73,1,2
102,103,4,97,46,1950,21,73,2,3
103,104,8,400,150,4997,14,73,1,0
104,105,8,400,167,4906,12.5,73,1,0
105,106,8,360,170,4654,13,73,1,0
106,107,8,350,180,4499,12.5,73,1,0
107,108,6,232,100,2789,15,73,1,1
108,109,4,97,88,2279,19,73,3,2
109,110,4,140,72,2401,19.5,73,1,2
110,111,4,108,94,2379,16.5,73,3,2
111,112,3,70,90,2124,13.5,73,3,1
112,113,4,122,85,2310,18.5,73,1,1
113,114,6,155,107,2472,14,73,1,2
114,115,4,98,90,2265,15.5,73,2,3
115,116,8,350,145,4082,13,73,1,1
116,117,8,400,230,4278,9.5,73,1,1
117,118,4,68,49,1867,19.5,73,2,3
118,119,4,116,75,2158,15.5,73,2,2
119,120,4,114,91,2582,14,73,2,2
120,121,4,121,112,2868,15.5,73,2,1
121,122,8,318,150,3399,11,73,1,1
122,123,4,121,110,2660,14,73,2,2
123,124,6,156,122,2807,13.5,73,3,2
124,125,8,350,180,3664,11,73,1,0
125,126,6,198,95,3102,16.5,74,1,2
127,128,6,232,100,2901,16,74,1,1
128,129,6,250,100,3336,17,74,1,1
129,130,4,79,67,1950,19,74,3,4
130,131,4,122,80,2451,16.5,74,1,3
131,132,4,71,65,1836,21,74,3,4
132,133,4,140,75,2542,17,74,1,3
133,134,6,250,100,3781,17,74,1,1
134,135,6,258,110,3632,18,74,1,1
135,136,6,225,105,3613,16.5,74,1,1
136,137,8,302,140,4141,14,74,1,1
137,138,8,350,150,4699,14.5,74,1,0
138,139,8,318,150,4457,13.5,74,1,0
139,140,8,302,140,4638,16,74,1,0
140,141,8,304,150,4257,15.5,74,1,0
141,142,4,98,83,2219,16.5,74,2,3
142,143,4,79,67,1963,15.5,74,2,3
143,144,4,97,78,2300,14.5,74,2,3
144,145,4,76,52,1649,16.5,74,3,4
145,146,4,83,61,2003,19,74,3,4
146,147,4,90,75,2125,14.5,74,1,3
147,148,4,90,75,2108,15.5,74,2,2
148,149,4,116,75,2246,14,74,2,3
